84,,,,,,,,,2,,,,,,
5,LOTE1,CENTRO,Sé,Consolação,PRAÇA DOM JOSÉ GASPAR,Rua Doutor Bráulio Gomes  49,150,99,2,mp_PracaDomJoseGaspar.jpg,http://goo.gl/maps/ESqLU,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358f40c,,18/08/2014,
2,LOTE1,CENTRO,Sé,Bela Vista,PRAÇA DON ORIONE,Viaduto Armando Puglisi,50,96,2,mp_PracaDomOrione.jpg,http://goo.gl/maps/vcXAi,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358e58e,,29/08/2014,
12,LOTE1,CENTRO,Sé,República,PRAÇA RAMOS DE AZEVEDO,Praça Ramos de Azevedo,100,99,2,mp_PracaRamosDeAzevedo.jpg,http://goo.gl/maps/1R9fI,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358fb7c,,13/10/2014,
7,LOTE1,CENTRO,Sé,Consolação,PRAÇA ROOSEVELT,Praça Roosevelt,250,96,2,mp_PracaRoosevelt.jpg,http://goo.gl/maps/Psmxm,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b3591742,,27/06/2014,
6,LOTE1,CENTRO,Sé,Consolação,PRAÇA ROTARY,Rua Major Sertório  561,100,96,2,mp_PracaRotary.jpg,http://goo.gl/maps/1gnpr,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358e53c,,05/09/2014,
19,LOTE1,CENTRO,Sé,Páteo do Colégio,PÁTEO DO COLÉGIO,,50,96,2,mp_PateoDoColegio.jpg,http://goo.gl/maps/16dGp,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=10feed391b7c,,05/03/2014,
26,LOTE2,ZONA LESTE,Mooca,Brás,LARGO DA CONCÓRDIA,Largo da Concórdia,150,96,2,mp_LargoDaConcordia.jpg,http://goo.gl/maps/OBv5d,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358e57c,,25/09/2014,
49,LOTE2,ZONA LESTE,Penha,Penha,LARGO DO ROSÁRIO,Largo do Rosário  15  São Paulo  Brasil,50,96,2,mp_LargoDoRosario.jpg,http://goo.gl/maps/t0IEO,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=10feed59F28a,,08/10/2014,
41,LOTE2,ZONA LESTE,Itaim Paulista,Vila Curuçá,PARQUE CHICO MENDES,Parque Chico Mendes - Rua Cembira  Vila Curuçá  São Paulo  Brasil,100,96,2,mp_ParqueChicoMendes.jpg,http://goo.gl/maps/sOH6G,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b35901be,,25/09/2014,
58,LOTE2,ZONA LESTE,Vila Prudente,Vila Prudente,PARQUE ECOLÓGICO DA VILA PRUDENTE,Parque Ecológico Vila Prudente  São Paulo  SP  Brasil,125,96,2,mp_ParqueEcologicoDaVilaPrudente.jpg,http://goo.gl/maps/ZXaV2,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358f2e0,,25/09/2014,
48,LOTE2,ZONA LESTE,Penha,Cangaíba,PARQUE LINEAR TIQUATIRA,Avenida Governador Carvalho Pinto  1759  São Paulo  Brasil,100,96,2,mp_ParqueLinearTiquatira.jpg,http://goo.gl/maps/UP32r,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466B358EE30,,14/08/2014,
45,LOTE2,ZONA LESTE,Itaquera,José Bonifácio,PARQUE RAUL SEIXAS,Rua Murmúrios da Tarde  190  São Paulo  Brasil,100,96,2,mp_ParqueRaulSeixas.jpg,http://goo.gl/maps/sxfoY,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358fdfc,,25/09/2014,
39,LOTE2,ZONA LESTE,Itaim Paulista,Itaim Paulista,PARQUE SANTA AMÉLIA,Rua Rio Contagem  72,100,96,2,mp_ParqueSantaAmelia.jpg,http://goo.gl/maps/p62jN,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358ee1a,,14/10/2014,
46,LOTE2,ZONA LESTE,Itaquera,Parque do Carmo,PRAÇA AUGUSTO DOMINGUES ALVES MAIA,Rua Arcádia Paulistana  375  São Paulo  Brasil,50,96,2,mp_PracaAugustoDominguesAlvesMaia.jpg,http://goo.gl/maps/6pYaC,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=10feed391b4a,,09/02/2015,
44,LOTE2,ZONA LESTE,Itaquera,José Bonifácio,PRAÇA BRASIL (PRAÇA MÃE MENININHA DO GANTOIS),Rua Cecília Porto  9  São Paulo  Brasil,150,96,2,mp_PracaBrasilMMGantois.jpg,http://goo.gl/maps/GGCCG,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358da0a,,08/12/2014,
38,LOTE2,ZONA LESTE,Guaianases,Lajeado,PRAÇA CECÍLIA MARQUES DE ARAÚJO,Rua Gonçalves de Oliveira  13,50,96,2,mp_PracaCeciliaMarquesDeAraujo.jpg,http://goo.gl/maps/ePZah,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358de34,,14/10/2014,
27,LOTE2,ZONA LESTE,Mooca,Mooca,PRAÇA CIRO PONTES / AO LADO DO SENAI,Praça Ciro Pontes,50,96,2,mp_PracaCiroPontes.jpg,http://goo.gl/maps/SYIDr,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358de08,,14/10/2014,
54,LOTE2,ZONA LESTE,São Miguel,Jardim Helena,PRAÇA CRAVEIRO DO CAMPO,Rua Kumaki Aoki  1074  Jardim Helena  São Paulo  Brasil,50,96,2,mp_PracaCraveirodoCampo.jpg,http://goo.gl/maps/907xr,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b3590180,,08/10/2014,
50,LOTE2,ZONA LESTE,Penha,Vila Matilde,PRAÇA DA CONQUISTA (PRAÇA VEREADOR JOÃO APARECIDO DE PAULA),Rua Dona Matilde  479  Vila Matilde  São Paulo  Brasil,75,96,2,mp_PracaDaConquista.jpg,http://goo.gl/maps/I0GVM,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358f39a,,12/09/2014,
35,LOTE2,ZONA LESTE,Ermelino Matarazzo,,PRAÇA DA ESTAÇÃO VILA MARA,,50,96,2,mp_EstacaoVilaMara.jpg,http://goo.gl/maps/xbjbn,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=10FEED59F0F8,,11/12/2014,
47,LOTE2,ZONA LESTE,Penha,Artur Alvim,PRAÇA DILVA GOMES MARTINS (COHAB 1),Rua Padre Manuel Barreto  68  COHAB Padre Manoel da Nóbrega  São Paulo - SP  Brasil,50,96,2,mp_PracaDilvaGomesMartins.jpg,http://goo.gl/maps/dqDD6,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358f2ac,,05/03/2014,
33,LOTE2,ZONA LESTE,Cidade Tiradentes,Cidade Tiradentes,PRAÇA DO 65 / POMBAS URBANAS,Avenida dos Metalúrgicos  2249,150,96,2,mp_PracaDo65.jpg,http://goo.gl/maps/ZxYvQ,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358ee40,,14/10/2014,
34,LOTE2,ZONA LESTE,Cidade Tiradentes,Cidade Tiradentes,PRAÇA DO TERMINAL METALÚRGICOS,Avenida dos Metalúrgicos  sn  Cidade Tiradentes  São Paulo  Brasil,150,96,2,mp_PracaDoTerminalMetalurgicos.jpg,http://goo.gl/maps/BFZKS,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358ea6a,,18/11/2014,
